"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"85560  Ainastalo (Nivala)",2.3,2.4,2.3,2.3,2.4
"85580  Karvoskylä (Nivala)",2.3,2.3,2.4,2.4,2.4
"85620  Sarja (Nivala)",2.3,2.2,2.3,2.3,2.3
"85630  Sarjanahde (Nivala)",3.3,3.3,3.3,3.3,3.3
"85640  Maliskylä (Nivala)",2.2,2.2,2.2,2.2,2.2
"85660  Ruuskankylä (Nivala)",2.7,2.5,2.4,2.4,2.3
"85710  Parkkila (Haapajärvi)",2.5,2.4,2.5,2.4,2.5
"85730  Tulppo (Haapajärvi)",2.1,2.1,2.1,2.0,2.1
"85800  Haapajärvi Keskus (Haapajärvi)",2.0,2.0,2.0,2.0,2.0
"85820  Oksava (Haapajärvi)",2.4,2.4,2.3,2.3,2.3
"85840  Kuona (Haapajärvi)",2.8,2.8,2.7,2.7,2.7
"85900  Reisjärvi Keskus (Reisjärvi)",2.2,2.2,2.2,2.2,2.2
"85930  Kangaskylä-Tolpankangas (Reisjärvi)",2.5,2.4,2.3,2.4,2.4
"85940  Räisälänmäki (Reisjärvi)",2.6,2.7,2.6,2.5,2.4
"85980  Köyhänperä (Reisjärvi)",2.6,2.5,2.5,2.3,2.4
"86100  Pyhäjoki Keskus (Pyhäjoki)",2.1,2.0,2.0,2.0,2.0
"86110  Parhalahti (Pyhäjoki)",2.2,2.2,2.1,2.1,2.2
"86160  Pirttikoski (Pyhäjoki)",2.2,2.2,2.1,2.1,2.1
"86170  Yppäri (Pyhäjoki)",2.7,2.6,2.6,2.6,2.6
"86210  Petäjäskoski (Oulainen)",3.0,3.0,3.0,2.8,2.7
"86220  Merijärvi Keskus (Merijärvi)",2.6,2.6,2.6,2.5,2.5
"86230  Ylipää (Merijärvi)",2.0,2.0,2.0,2.0,1.9
"86240  Pyhänkoski (Merijärvi)",2.4,2.4,2.4,2.4,2.4
"86300  Oulainen Keskus (Oulainen)",2.0,2.0,2.0,2.0,1.9
"86350  Kilpua (Oulainen)",1.9,1.9,1.8,1.9,2.0
"86360  Ilveskorpi (Raahe)",2.1,2.1,2.1,2.1,2.2
"86400  Vihanti Keskus (Raahe)",2.0,2.0,2.0,1.9,2.0
"86440  Lampinsaari (Raahe)",2.1,2.0,2.0,1.8,1.7
"86460  Alpua (Raahe)",2.3,2.2,2.2,2.2,2.3
"86470  Lumimetsä (Raahe)",2.3,2.3,2.3,2.1,2.1
"86480  Karhukangas (Haapavesi)",...,...,...,...,...
"86510  Matkaniva (Oulainen)",2.4,2.3,2.3,2.3,2.2
"86530  Annonen (Haapavesi)",2.1,2.1,2.1,2.1,2.1
"86550  Mieluskylä (Haapavesi)",2.8,2.7,2.7,2.7,2.7
"86600  Haapavesi Keskus (Haapavesi)",2.2,2.2,2.2,2.1,2.1
"86650  Kytökylä-Joutenniva (Haapavesi)",2.5,2.4,2.4,2.3,2.4
"86680  Vatjusjärvi (Haapavesi)",2.3,2.2,2.2,2.2,2.2
"86690  Karsikas (Haapavesi)",2.1,2.1,2.0,2.0,2.0
"86710  Kärsämäki Keskus (Kärsämäki)",2.2,2.2,2.1,2.1,2.1
"86790  Venetpalo (Kärsämäki)",0.0,0.0,0.0,0.0,0.0
"86800  Pyhäsalmi (Pyhäjärvi)",1.9,1.9,1.9,1.8,1.8
"86810  Pellikkaperä (Pyhäjärvi)",2.5,2.4,2.4,2.3,2.2
"86850  Hiidenniemi (Pyhäjärvi)",2.1,2.0,2.0,1.9,1.9
"86870  Vesikoski (Pyhäjärvi)",2.0,2.0,2.1,2.0,1.9
"86900  Pyhäkumpu (Pyhäjärvi)",2.1,2.1,2.1,2.0,2.0
"86980  Väliaho (Pyhäjärvi)",...,...,1.7,1.6,1.5
"87100  Kajaani Keskus (Kajaani)",1.4,1.4,1.4,1.4,1.4
"87150  Purola (Kajaani)",2.1,2.1,2.1,2.1,2.1
"87200  Teppana (Kajaani)",1.8,1.8,1.8,1.8,1.8
"87250  Kättö-Kätönlahti (Kajaani)",2.2,2.2,2.2,2.2,2.2
"87300  Palokangas (Kajaani)",1.6,1.6,1.6,1.7,1.7
"87400  Petäisenniska (Kajaani)",1.9,1.8,1.8,1.8,1.8
"87500  Lehtikangas (Kajaani)",2.1,2.0,2.0,2.0,2.0
"87700  Lohtaja-Kettu (Kajaani)",1.9,1.9,1.9,2.0,1.9
"87800  Vuoreslahti (Kajaani)",2.4,2.4,2.5,2.5,2.5
"87830  Nakertaja (Kajaani)",2.4,2.4,2.4,2.3,2.3
"87850  Paltaniemi (Kajaani)",2.6,2.5,2.4,2.4,2.3
"87900  Kajaani (Kajaani)",2.2,2.1,2.2,2.2,2.3
"87910  Linnantaus (Kajaani)",2.5,2.5,2.4,2.5,2.4
"87930  Salmijärvi (Kajaani)",2.3,2.3,2.3,2.3,2.3
"87950  Kuluntalahti (Kajaani)",3.0,3.0,2.9,2.9,2.9
"87970  Jormua (Kajaani)",2.5,2.5,2.4,2.3,2.3
"88120  Tuhkakylä (Sotkamo)",1.9,1.9,1.9,1.9,1.9
"88200  Otanmäki-Kytökoski (Kajaani)",1.7,1.7,1.7,1.8,1.8
"88270  Vuolijoki Keskus (Kajaani)",2.0,2.0,1.9,1.9,2.0
"88300  Paltamo Keskus (Paltamo)",1.8,1.8,1.8,1.8,1.8
"88310  Melalahti (Paltamo)",2.1,2.1,2.0,1.9,1.9
"88340  Manamansalo (Vaala)",1.7,1.6,1.6,1.6,1.6
"88350  Kivesjärvi (Paltamo)",2.1,2.1,2.0,2.0,2.1
"88380  Mieslahti (Paltamo)",2.3,2.2,2.2,2.1,2.0
"88400  Ristijärvi Keskus-Hiisijärvi (Ristijärvi)",1.9,1.8,1.8,1.9,1.9
"88440  Jokikylä (Ristijärvi)",1.8,1.7,1.8,1.8,1.7
"88460  Hiisijärvi (Ristijärvi)",...,...,...,...,...
"88470  Kontiomäki (Paltamo)",2.0,2.0,2.0,2.0,2.0
"88490  Pohjavaara (Sotkamo)",2.4,2.3,2.3,2.3,2.3
"88530  Paakki (Sotkamo)",2.2,2.2,2.3,2.4,2.2
"88600  Sotkamo Keskus (Sotkamo)",1.9,1.9,1.9,1.9,1.9
"88610  Vuokatti (Sotkamo)",2.2,2.1,2.1,2.1,2.1
"88615  Vuokatin Urheiluopisto (Sotkamo)",0.0,0.0,...,...,...
"88620  Korholanmäki (Sotkamo)",2.6,2.6,2.6,2.7,2.7
"88640  Ontojoki (Sotkamo)",1.9,1.9,1.7,1.8,1.8
"88670  Juurikkalahti-Maanselkä (Sotkamo)",2.5,2.4,2.5,2.4,2.4
"88690  Maanselkä (Sotkamo)",...,...,...,...,...
"88730  Ylä-Vieksi (Kuhmo)",1.8,1.7,1.7,1.6,1.6
"88740  Härmänkylä-Iivantiira (Kuhmo)",2.1,...,2.1,...,...
"88760  Iivantiira (Kuhmo)",2.0,1.9,1.9,1.8,1.8
"88900  Kuhmo Keskus (Kuhmo)",1.8,1.8,1.8,1.8,1.8
"88930  Lentiira-Kuumu (Kuhmo)",1.8,1.8,1.8,1.8,1.8
"88940  Kuumu (Kuhmo)",...,...,...,...,...
"89110  Törmänmäki (Puolanka)",...,...,...,...,...
"89140  Kotila-Törmänmäki (Puolanka)",2.2,2.1,2.0,1.9,1.9
"89200  Puolanka Keskus (Puolanka)",1.8,1.8,1.7,1.7,1.7
"89210  Puokiovaara (Puolanka)",2.4,...,...,...,...
"89320  Joukokylä (Puolanka)",1.8,1.8,1.8,1.8,1.8
"89330  Suolijärvi (Puolanka)",1.7,1.7,1.9,2.1,...
"89400  Hyrynsalmi Keskus (Hyrynsalmi)",1.8,1.8,1.8,1.8,1.8
"89430  Hoikka (Hyrynsalmi)",...,...,...,...,...
"89440  Sakara (Suomussalmi)",2.4,2.3,2.3,2.2,2.1
"89540  Moisiovaara (Hyrynsalmi)",1.8,1.8,1.8,1.7,1.7
"89560  Karhuvaara (Hyrynsalmi)",1.8,1.8,1.8,1.9,1.9
"89600  Ämmänsaari (Suomussalmi)",1.8,1.8,1.8,1.8,1.7
"89610  Jumaliskylä (Suomussalmi)",...,...,...,...,...
"89640  Pesiökylä (Suomussalmi)",1.9,1.9,1.9,1.9,1.8
"89660  Takalo (Suomussalmi)",1.9,1.8,1.9,1.9,1.9
"89670  Näljänkä (Suomussalmi)",1.9,1.8,1.7,1.7,1.6
"89680  Vaaranniva (Suomussalmi)",1.7,1.8,1.7,1.8,1.7
"89730  Ahjola (Suomussalmi)",...,...,...,...,...
"89740  Kianta (Suomussalmi)",...,...,...,...,...
"89760  Piispajärvi-Peranka-Kaikkoinen (Suomussalmi)",2.0,1.9,1.8,1.9,2.0
"89770  Peranka (Suomussalmi)",...,...,...,...,...
"89780  Kaikkonen (Suomussalmi)",1.8,...,...,...,...
"89800  Suomussalmi Keskus (Suomussalmi)",2.0,2.0,2.0,2.0,2.0
"89830  Ala-Vuokki (Suomussalmi)",...,...,...,...,...
"89840  Yli-Vuokki (Suomussalmi)",1.7,1.7,1.7,1.7,...
"89920  Ruhtinansalmi (Suomussalmi)",1.9,1.8,1.8,1.8,1.8
"90100  Oulu Keskus (Oulu)",1.4,1.4,1.4,1.4,1.4
"90120  Heinäpää (Oulu)",1.4,1.4,1.4,1.4,1.4
"90130  Raksila (Oulu)",1.5,1.5,1.5,1.5,1.5
"90140  Karjasilta (Oulu)",1.7,1.7,1.6,1.6,1.6
"90150  Höyhtyä (Oulu)",1.8,1.8,1.8,1.8,1.7
"90220  Kontinkangas (Oulu)",1.3,1.4,1.4,1.4,1.4
"90230  Värttö-Maikkula (Oulu)",1.9,1.9,1.9,1.9,1.9
"90240  Iinatti (Oulu)",2.0,2.0,2.0,2.0,2.0
"90250  Kaukovainio (Oulu)",1.6,1.6,1.6,1.6,1.6
"90310  Madekoski (Oulu)",2.6,2.6,2.5,2.5,2.5
"90400  Äimärautio (Oulu)",1.4,1.3,1.4,1.4,1.4
"90410  Kaakkuri (Oulu)",2.3,2.3,2.3,2.3,2.3
"90420  Metsokangas (Oulu)",2.4,2.4,2.4,2.3,2.3
"90440  Kempele Keskus (Kempele)",2.2,2.2,2.2,2.1,2.1
"90450  Honkanen (Kempele)",2.7,2.7,2.7,2.7,2.7
"90460  Oulunsalo Keskus (Oulu)",2.6,2.5,2.5,2.5,2.5
"90470  Varjakka (Oulu)",2.9,2.9,2.9,2.9,2.8
"90480  Hailuoto (Hailuoto)",1.9,1.9,1.9,1.9,1.9
"90500  Tuira (Oulu)",1.4,1.4,1.4,1.4,1.4
"90510  Hietasaari (Oulu)",1.7,1.7,1.7,1.7,1.7
"90520  Taskila-Toppila (Oulu)",1.6,1.6,1.5,1.5,1.5
"90530  Välivainio (Oulu)",1.5,1.5,1.5,1.5,1.5
"90540  Kuivasjärvi (Oulu)",2.7,2.7,2.7,2.6,2.6
"90550  Pyykösjärvi-Puolivälinkangas (Oulu)",1.8,1.7,1.7,1.7,1.7
"90560  Koskela-Oulu (Oulu)",1.8,1.8,1.8,1.8,1.8
"90570  Kaijonharju-Linnanmaa (Oulu)",1.6,1.6,1.6,1.6,1.7
"90580  Rajakylä (Oulu)",1.9,1.9,1.9,1.9,1.9
"90590  Teknologiakylä (Oulu)",...,...,1.0,1.2,1.3
"90600  Oulun rahtiterminaali (Oulu)",0.0,0.0,0.0,0.0,0.0
"90620  Rusko-Heikinharju (Oulu)",2.2,2.2,2.3,2.2,2.2
"90630  Korvensuora (Oulu)",2.4,2.4,2.3,2.3,2.3
"90650  Haapalehto (Oulu)",2.1,2.0,2.0,2.0,2.0
"90660  Sanginsuu (Oulu)",2.3,2.3,2.3,2.3,2.3
"90670  Hiukkavaara (Oulu)",2.6,2.6,2.6,2.6,2.6
"90800  Pateniemi (Oulu)",2.3,2.3,2.3,2.2,2.2
"90810  Kiviniemi (Oulu)",2.4,2.4,2.4,2.4,2.4
"90820  Kello (Oulu)",2.6,2.6,2.6,2.6,2.6
"90830  Haukipudas Keskus (Oulu)",2.3,2.3,2.3,2.3,2.3
"90840  Haukipudas Asemanseutu (Oulu)",2.8,2.8,2.7,2.6,2.6
"90850  Martinniemi (Oulu)",2.5,2.4,2.4,2.4,2.4
"90860  Halosenniemi (Oulu)",2.7,2.7,2.7,2.6,2.5
"90900  Kiiminki Keskus (Oulu)",2.6,2.6,2.6,2.5,2.5
"90910  Kontio (Oulu)",3.3,3.3,3.3,3.2,3.2
"90940  Jääli (Oulu)",2.4,2.4,2.3,2.3,2.3
"91100  Ii Keskus (Ii)",2.5,2.5,2.5,2.4,2.4
"91110  Ii Asemanseutu (Ii)",2.6,2.6,2.6,2.5,2.6
"91140  Olhava (Ii)",1.9,1.8,1.8,1.7,1.7
"91150  Yli-Olhava (Ii)",2.0,2.0,2.1,1.9,1.9
"91200  Yli-Ii Keskus (Oulu)",2.4,2.4,2.3,2.4,2.4
"91210  Jakkukylä (Ii)",2.8,2.9,3.0,2.8,2.8
"91240  Tannila (Oulu)",2.1,2.0,2.1,1.9,1.8
"91260  Pahkakoski - Räinä (Oulu)",2.0,1.9,2.0,2.0,2.0
"91300  Ylikiiminki Keskus (Oulu)",2.5,2.5,2.5,2.4,2.4
"91310  Arkala (Oulu)",2.3,2.4,2.4,2.4,2.3
"91410  Jokirinne (Muhos)",3.0,3.0,3.0,3.0,3.0
"91430  Leppiniemi (Muhos)",2.2,2.0,2.1,1.9,2.0
"91500  Muhos Keskus (Muhos)",2.3,2.3,2.3,2.3,2.3
"91510  Rova (Muhos)",2.5,2.5,2.4,2.5,2.5
"91560  Kylmälänkylä (Muhos)",2.1,2.1,2.1,2.0,2.0
"91600  Utajärvi Keskus (Utajärvi)",2.1,2.0,2.0,2.0,2.0
"91620  Sanginkylä (Utajärvi)",2.3,2.2,2.2,2.2,2.2
"91630  Juorkuna (Utajärvi)",1.6,1.6,1.6,1.6,1.6
"91640  Särkijärvi (Utajärvi)",1.9,1.9,1.9,1.8,1.7
"91660  Ahmas (Utajärvi)",1.9,1.9,1.9,1.9,1.8
"91670  Rokua (Utajärvi)",...,...,...,...,...
"91700  Vaala Keskus - Oterma (Vaala)",1.8,1.7,1.7,1.7,1.7
"91710  Jylhämä (Vaala)",1.5,...,...,1.5,...
"91720  Oterma (Vaala)",1.6,1.6,1.6,1.5,1.5
"91730  Kankari (Vaala)",2.0,2.1,2.0,1.9,1.9
"91740  Jaalanka - Liminpuro (Vaala)",1.8,1.8,1.8,1.7,1.7
"91750  Liminpuro (Vaala)",...,...,...,...,...
"91760  Säräisniemi (Vaala)",1.7,1.7,1.7,1.7,1.7
"91780  Neittävä (Vaala)",2.0,1.9,1.9,2.0,2.1
"91790  Nuojua (Vaala)",2.4,2.3,2.3,2.4,2.3
"91800  Tyrnävä (Tyrnävä)",2.9,2.9,2.9,2.9,2.8
"91900  Liminka Keskus (Liminka)",2.8,2.8,2.8,2.7,2.7
"91910  Tupos (Liminka)",3.6,3.5,3.5,3.4,3.4
"91930  Ala-Temmes (Liminka)",2.4,2.4,2.3,2.3,2.3
"91950  Temmes (Tyrnävä)",2.2,2.2,2.2,2.2,2.1
"91980  Lumijoki (Lumijoki)",2.7,2.6,2.6,2.6,2.6
"92100  Raahe Keskus (Raahe)",1.6,1.6,1.6,1.6,1.6
"92120  Ollinsaari - Mestauskallio (Raahe)",1.9,1.9,1.9,1.9,1.9
"92130  Isoholmi - Antinkangas (Raahe)",2.1,2.1,2.1,2.1,2.1
"92140  Pattijoki Keskus (Raahe)",2.5,2.5,2.5,2.4,2.4
"92150  Kummatti - Junnilanmäki (Raahe)",1.6,1.6,1.5,1.6,1.6
"92160  Saloinen (Raahe)",2.4,2.3,2.3,2.3,2.2
"92180  Lapaluoto (Raahe)",1.8,1.8,1.8,1.8,1.7
"92210  Arkkukari (Raahe)",3.1,3.0,2.9,2.9,2.9
"92220  Piehinki (Raahe)",2.2,2.2,2.2,2.2,2.1
"92230  Mattilanperä (Raahe)",2.4,2.3,2.3,2.2,2.2
"92240  Lasikangas (Raahe)",2.5,2.4,2.4,2.4,2.4
"92260  Kopsa (Raahe)",2.3,2.2,2.1,2.1,2.0
"92320  Siikajoki Keskus (Siikajoki)",2.4,2.4,2.4,2.4,2.4
"92330  Karinkanta (Siikajoki)",2.2,2.2,2.1,2.1,2.1
"92350  Revonlahti (Siikajoki)",2.5,2.4,2.4,2.4,2.4
"92400  Ruukki Keskus (Siikajoki)",2.2,2.2,2.2,2.2,2.1
"92430  Paavola - Huumola (Siikajoki)",2.1,2.1,2.1,2.1,2.1
"92440  Saarikoski (Siikajoki)",...,...,...,...,...
"92450  Luohua (Siikajoki)",2.7,2.7,2.7,2.7,2.8
"92470  Tuomioja (Siikajoki)",2.3,2.3,2.3,2.3,2.3
"92500  Rantsila Keskus (Siikalatva)",2.1,2.1,2.1,2.0,2.1
"92520  Sipola (Siikalatva)",2.0,2.0,2.0,1.9,1.9
"92530  Mankila (Siikalatva)",2.5,2.5,2.5,2.4,2.4
"92600  Pulkkila Keskus (Siikalatva)",1.9,1.9,1.9,2.0,2.0
"92610  Vorna (Siikalatva)",2.2,2.2,2.2,2.0,2.0
"92620  Piippola Keskus (Siikalatva)",2.0,2.0,2.0,2.0,2.0
"92640  Leskelä (Siikalatva)",2.2,2.1,2.1,2.1,2.0
"92650  Laakkola (Siikalatva)",2.4,2.4,2.4,2.4,2.4
"92700  Kestilä (Siikalatva)",1.9,1.9,1.8,1.8,1.8
"92810  Pelsonsuo (Vaala)",2.4,2.4,2.5,2.3,2.3
"92830  Veneheitto (Vaala)",2.1,2.1,2.1,2.1,2.0
"92910  Tavastkenkä (Pyhäntä)",2.3,2.3,2.2,2.2,2.2
"92920  Ahokylä (Pyhäntä)",2.4,2.4,2.3,2.4,2.3
"92930  Pyhäntä (Pyhäntä)",2.4,2.4,2.4,2.4,2.4
"93100  Pudasjärvi Keskus (Pudasjärvi)",2.0,1.9,1.9,1.9,1.9
"93140  Kipinä (Pudasjärvi)",2.2,2.3,2.3,2.3,2.2
"93160  Hetejärvi (Pudasjärvi)",2.2,2.2,2.2,2.1,2.1
"93170  Yli-Kollaja (Pudasjärvi)",2.5,2.5,2.6,2.6,2.7
"93180  Ikosenniemi (Pudasjärvi)",...,...,...,...,...
"93187  Ala-Siurua (Pudasjärvi)",2.1,2.0,2.0,2.0,2.0
"93190  Yli-Siurua - Ikosenniemi (Pudasjärvi)",1.9,1.8,1.8,1.9,1.8
"93195  Kokkokylä (Pudasjärvi)",...,...,...,...,...
"93220  Livo (Pudasjärvi)",2.1,2.1,2.1,2.0,2.1
"93225  Pärjänsuo (Pudasjärvi)",2.5,2.5,2.5,2.4,2.4
"93240  Rytinki (Pudasjärvi)",1.9,1.8,1.8,2.0,2.1
"93250  Sarajärvi (Pudasjärvi)",1.9,1.9,1.8,1.9,2.0
"93270  Sotkajärvi (Pudasjärvi)",2.2,2.3,2.2,2.3,2.3
"93277  Iinattijärvi (Pudasjärvi)",2.1,2.2,2.2,2.2,2.2
"93280  Syöte (Pudasjärvi)",2.1,2.2,2.0,2.1,2.0
"93290  Pintamo (Pudasjärvi)",2.0,2.0,1.9,1.8,1.9
"93350  Jaurakkajärvi (Pudasjärvi)",2.2,2.1,2.1,2.1,2.1
"93390  Puhoskylä (Pudasjärvi)",1.9,1.9,1.8,1.8,1.9
"93400  Taivalkoski Keskus (Taivalkoski)",2.0,2.1,2.0,2.0,2.0
"93420  Jurmu (Taivalkoski)",2.1,2.1,2.0,2.0,2.1
"93440  Loukusa (Taivalkoski)",1.8,1.8,1.8,1.8,...
"93470  Inget (Taivalkoski)",2.1,2.2,2.1,1.9,2.0
"93540  Tyrövaara (Taivalkoski)",2.9,2.9,2.8,2.8,2.8
"93590  Vanhala (Taivalkoski)",2.0,1.9,1.9,1.9,1.8
"93600  Kuusamo (Kuusamo)",1.9,1.9,1.9,1.9,1.9
"93700  Kurkijärvi - Oijusluoma (Kuusamo)",2.2,2.2,2.2,2.1,2.2
"93800  Muojärvi (Kuusamo)",2.5,2.5,2.5,2.5,2.5
"93830  Rukatunturi (Kuusamo)",2.3,2.4,2.3,2.3,2.3
"93900  Oulangan kansallispuisto (Kuusamo)",1.9,1.9,1.9,1.9,1.9
"93999  Lososaari (Kuusamo)",0.0,0.0,0.0,0.0,0.0
"94100  Kemi Keskus (Kemi)",1.5,1.5,1.5,1.5,1.5
"94200  Torvinen - Vainio (Kemi)",1.9,1.9,1.9,1.9,1.9
"94300  Pajusaari (Kemi)",2.1,2.1,2.1,2.0,2.0
"94400  Keminmaa Keskus (Keminmaa)",1.9,1.8,1.8,1.8,1.8
"94430  Kaakamo (Tornio)",2.4,2.3,2.3,2.3,2.2
"94450  Lassila - Jokisuu (Keminmaa)",2.5,2.4,2.4,2.4,2.3
"94460  Ruottala (Tornio)",2.1,2.1,2.1,2.1,2.1
"94500  Lautiosaari (Keminmaa)",2.1,2.1,2.1,2.1,2.0
"94600  Ristikangas - Kivikko (Kemi)",2.4,2.4,2.3,2.3,2.3
"94700  Takajärvi - Haukkari (Kemi)",2.0,2.0,2.0,2.0,1.9
"94720  Peurasaari (Kemi)",1.8,1.8,1.8,1.8,1.8
"94800  Veitsiluoto (Kemi)",0.0,0.0,0.0,0.0,0.0
"94830  Pikku Berliini - Hepola (Kemi)",1.7,1.7,1.6,1.6,1.6
"94900  Ajos (Kemi)",2.2,2.2,2.2,2.2,2.2
"95100  Kuivaniemi Keskus (Ii)",1.8,1.7,1.7,1.7,1.7
"95110  Kuivaniemi kk (Ii)",1.9,1.9,1.9,1.8,1.9
"95130  Hyryoja (Ii)",2.7,2.5,2.5,2.4,2.6
"95160  Oijärvi - Lamminperä (Ii)",1.6,1.5,1.6,1.6,1.5
"95200  Simo Keskus (Simo)",2.0,2.0,1.9,1.9,1.9
"95210  Filpus (Simo)",2.2,2.2,2.2,2.1,2.1
"95220  Simoniemi (Simo)",2.2,2.2,2.3,2.3,2.2
"95225  Viantie (Simo)",2.0,1.9,1.9,1.9,1.9
"95230  Maksniemi (Simo)",2.3,2.2,2.2,2.2,2.2
"95255  Alaniemi (Simo)",2.0,1.8,1.8,1.7,1.7
"95260  Tainionjoki (Simo)",...,...,...,...,...
"95270  Yli-Kärppä - Tainionjoki (Simo)",1.7,1.6,1.6,1.5,1.5
"95300  Tervola Keskus (Tervola)",2.0,2.0,2.0,2.0,1.9
"95310  Liedakkala (Keminmaa)",2.2,2.2,2.3,2.3,2.3
"95315  Törmä (Keminmaa)",2.1,2.2,2.0,2.2,2.1
"95325  Paakkola (Tervola)",2.0,2.1,2.1,2.1,2.1
"95330  Tervola (Tervola)",2.0,2.0,1.9,1.8,1.9
"95340  Loue (Tervola)",1.8,1.9,1.8,1.8,1.9
"95350  Peura (Tervola)",...,...,...,...,...
"95355  Koivu-Peura (Tervola)",1.9,1.9,1.8,1.9,1.8
"95365  Maula (Keminmaa)",2.1,2.1,2.1,2.1,2.1
"95370  Itäkoski (Keminmaa)",2.0,2.0,2.0,2.0,2.0
"95375  Yli-Paakkola (Tervola)",2.2,2.3,2.3,2.3,2.3
"95400  Tornio Keskus (Tornio)",1.4,1.4,1.4,1.4,1.4
"95410  Kiviranta (Tornio)",2.1,2.1,2.1,2.2,2.1
"95420  Miukki-Palosaari-Luotomäki (Tornio)",1.9,1.9,1.9,1.9,1.9
"95430  Suensaari (Tornio)",1.7,1.7,1.7,1.7,1.7
"95440  Kyläjoki (Tornio)",2.5,2.5,2.5,2.5,2.4
"95450  Kirkonmäki (Tornio)",2.5,2.5,2.4,2.4,2.4
"95460  Kantojärvi (Tornio)",2.7,2.7,2.7,2.7,2.7
"95470  Pirkkiö - Röyttä (Tornio)",2.4,2.3,2.3,2.2,2.3
"95490  Terästehtaanalue (Tornio)",0.0,0.0,0.0,0.0,0.0
"95500  Vojakkala - Yli-Liakka (Tornio)",2.3,2.3,2.3,2.3,2.3
"95520  Kukkola (Tornio)",2.1,2.1,2.1,2.1,2.1
"95530  Karunki (Tornio)",2.4,2.4,2.4,2.3,2.3
"95540  Korpikylä (Tornio)",1.8,1.8,2.0,2.0,1.9
"95560  Aapajoki (Tornio)",2.3,2.2,2.2,2.1,2.1
"95590  Arpela (Tornio)",2.1,2.1,2.1,2.1,2.0
"95600  Ylitornio Keskus (Ylitornio)",1.9,1.9,1.9,1.9,1.8
"95610  Kainuunkylä (Ylitornio)",2.0,1.9,1.9,2.0,2.1
"95615  Pekanpää (Ylitornio)",2.0,2.0,2.0,2.0,2.0
"95620  Aavasaksa (Ylitornio)",2.0,2.0,2.0,1.9,1.9
"95630  Kuivakangas (Ylitornio)",2.2,2.0,1.9,2.0,2.0
"95635  Kaulinranta (Ylitornio)",2.0,2.0,2.0,1.9,1.9
"95640  Juoksenki (Pello)",1.7,1.7,1.6,1.7,1.7
"95645  Turtola (Pello)",1.9,1.9,1.9,2.0,2.0
"95655  Etelä-Portimojärvi (Ylitornio)",2.0,2.0,2.1,2.1,2.1
"95660  Kantomaanpää (Ylitornio)",1.8,1.8,1.8,1.8,1.8
"95670  Pessalompolo (Ylitornio)",1.9,1.8,1.8,1.9,1.9
"95675  Meltosjärvi (Ylitornio)",1.5,1.5,1.4,1.5,1.4
"95680  Lohijärvi (Ylitornio)",...,1.5,1.7,1.6,1.7
"95690  Mellakoski (Ylitornio)",1.9,2.0,2.0,2.1,2.0
"95700  Pello Keskus (Pello)",1.9,1.9,1.9,1.9,1.8
"95710  Naamijoki (Pello)",...,...,...,...,...
"95720  Jarhoinen (Pello)",...,...,...,...,...
"95750  Orajärvi (Pello)",2.1,2.1,2.2,2.2,2.2
"95760  Konttajärvi (Pello)",1.9,1.9,1.9,1.8,1.8
"95770  Lankojärvi (Pello)",1.9,1.8,1.8,1.8,1.7
"95780  Sirkkakoski (Pello)",1.7,1.7,1.7,1.7,1.8
"95790  Lampsijärvi (Pello)",1.8,1.9,1.9,1.8,1.7
"95800  Sieppijärvi - Taapajärvi (Kolari)",2.0,1.9,1.8,1.8,1.8
"95830  Vaattojärvi (Kolari)",2.3,2.2,2.3,2.2,2.1
"95840  Venejärvenkylä (Kolari)",...,...,...,...,...
"95850  Ruokojärvi (Kolari)",...,...,...,...,...
"95860  Pasmajärvi (Kolari)",...,...,...,...,...
"95900  Kolari Keskus (Kolari)",1.9,2.0,1.9,1.9,1.9
"95920  Saaripudas (Kolari)",2.3,2.3,2.3,2.3,2.3
"95930  Äkäsjoensuu (Kolari)",2.2,2.3,2.2,2.2,2.3
"95940  Tapojärvi (Muonio)",...,...,...,...,...
"95950  Kihlanki - Tapojärvi (Muonio)",...,...,...,...,...
"95970  Äkäslompolo (Kolari)",2.2,2.2,2.2,2.1,2.1
"95980  Ylläsjärvi (Kolari)",2.5,2.3,2.4,2.4,2.5
"95990  Kurtakko (Kolari)",2.2,2.1,2.2,2.2,2.0
"96100  Rovaniemi Keskus (Rovaniemi)",1.5,1.5,1.5,1.5,1.5
"96190  Lapinrinne - Ahokangas (Rovaniemi)",2.4,2.4,2.4,2.4,2.4
"96200  Sahanperä - Ratantaus (Rovaniemi)",1.5,1.5,1.5,1.5,1.5
"96300  Niemelänkangas - Korvanniemi (Rovaniemi)",1.6,1.6,1.6,1.6,1.6
"96320  Teollisuuskylä (Rovaniemi)",...,...,...,...,...
"96400  Pullinranta - Kiiruna (Rovaniemi)",1.9,1.9,1.8,1.8,1.9
"96440  Ounasrinne (Rovaniemi)",1.9,2.0,1.9,1.9,2.0
"96460  Pöykkölä (Rovaniemi)",2.5,2.5,2.5,2.5,2.5
"96500  Korkalovaara (Rovaniemi)",1.9,1.9,1.9,1.8,1.9
"96600  Koskenkylä (Rovaniemi)",2.6,2.6,2.6,2.6,2.6
