"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"91950  Temmes (Tyrnävä)",37889,38513,40172,42919,44947
"91980  Lumijoki (Lumijoki)",44120,45901,48407,49773,51558
"92100  Raahe Keskus (Raahe)",33474,34595,35895,36780,38265
"92120  Ollinsaari - Mestauskallio (Raahe)",37235,37433,38557,39188,40893
"92130  Isoholmi - Antinkangas (Raahe)",43158,43950,45341,48147,49407
"92140  Pattijoki Keskus (Raahe)",46272,47354,49674,51185,52636
"92150  Kummatti - Junnilanmäki (Raahe)",27694,29026,29578,30178,30695
"92160  Saloinen (Raahe)",43824,45659,46277,48459,49942
"92180  Lapaluoto (Raahe)",34407,34652,35196,36897,36359
"92210  Arkkukari (Raahe)",54702,55891,63983,58373,60643
"92220  Piehinki (Raahe)",48943,44447,47322,50471,48610
"92230  Mattilanperä (Raahe)",45810,48463,51098,52032,54001
"92240  Lasikangas (Raahe)",46458,48448,49832,53293,54361
"92260  Kopsa (Raahe)",44688,44803,45942,47773,51085
"92320  Siikajoki Keskus (Siikajoki)",45987,47968,51350,53484,55739
"92330  Karinkanta (Siikajoki)",46471,45738,44305,46992,50175
"92350  Revonlahti (Siikajoki)",42985,50892,46006,49580,52682
"92400  Ruukki Keskus (Siikajoki)",38992,39823,41662,44497,45718
"92430  Paavola - Huumola (Siikajoki)",39305,40712,41542,43198,47423
"92440  Saarikoski (Siikajoki)",...,...,...,...,...
"92450  Luohua (Siikajoki)",41497,43510,44572,47875,51706
"92470  Tuomioja (Siikajoki)",43536,44058,45930,50711,60937
"92500  Rantsila Keskus (Siikalatva)",35971,38355,39469,40896,44197
"92520  Sipola (Siikalatva)",35297,36281,35256,36692,38773
"92530  Mankila (Siikalatva)",46266,49763,51176,53456,54127
"92600  Pulkkila Keskus (Siikalatva)",35448,36161,38487,39614,41873
"92610  Vorna (Siikalatva)",35327,39718,44917,41761,41296
"92620  Piippola Keskus (Siikalatva)",35338,37696,38128,40033,41820
"92640  Leskelä (Siikalatva)",40713,41463,42399,46150,46969
"92650  Laakkola (Siikalatva)",44925,40992,48314,45343,47198
"92700  Kestilä (Siikalatva)",33749,35822,36509,38110,39626
"92810  Pelsonsuo (Vaala)",38008,43363,44794,43639,45544
"92830  Veneheitto (Vaala)",43361,41654,44115,48275,48389
"92910  Tavastkenkä (Pyhäntä)",39745,42638,45093,42004,44351
"92920  Ahokylä (Pyhäntä)",43179,38958,42245,45040,43283
"92930  Pyhäntä (Pyhäntä)",41615,46949,49572,47614,51705
"93100  Pudasjärvi Keskus (Pudasjärvi)",34937,35971,36396,37720,38323
"93140  Kipinä (Pudasjärvi)",37215,38904,40665,43105,45342
"93160  Hetejärvi (Pudasjärvi)",36553,36277,39010,40940,41438
"93170  Yli-Kollaja (Pudasjärvi)",39129,39377,43380,44790,49116
"93180  Ikosenniemi (Pudasjärvi)",...,...,...,...,...
"93187  Ala-Siurua (Pudasjärvi)",38570,38335,40884,44311,46734
"93190  Yli-Siurua - Ikosenniemi (Pudasjärvi)",31669,33683,33556,33671,33915
"93195  Kokkokylä (Pudasjärvi)",...,...,...,...,...
"93220  Livo (Pudasjärvi)",36291,37509,40939,49464,45502
"93225  Pärjänsuo (Pudasjärvi)",39859,43738,43227,48056,46561
"93240  Rytinki (Pudasjärvi)",33725,33453,34465,38343,40127
"93250  Sarajärvi (Pudasjärvi)",30066,30665,31536,33033,34133
"93270  Sotkajärvi (Pudasjärvi)",40651,46326,44824,47502,49209
"93277  Iinattijärvi (Pudasjärvi)",37981,39694,39880,42391,44652
"93280  Syöte (Pudasjärvi)",40941,40471,38796,43067,42543
"93290  Pintamo (Pudasjärvi)",40064,40074,39794,41778,44916
"93350  Jaurakkajärvi (Pudasjärvi)",37934,41436,45014,43092,43774
"93390  Puhoskylä (Pudasjärvi)",31600,33610,32915,34247,37797
"93400  Taivalkoski Keskus (Taivalkoski)",36630,38318,39934,40113,40913
"93420  Jurmu (Taivalkoski)",38205,39698,41754,42702,46838
"93440  Loukusa (Taivalkoski)",35767,37747,38686,44209,...
"93470  Inget (Taivalkoski)",41549,42329,43896,42176,42906
"93540  Tyrövaara (Taivalkoski)",43122,47203,52603,50920,52191
"93590  Vanhala (Taivalkoski)",38370,38351,42007,38941,38399
"93600  Kuusamo (Kuusamo)",36058,37605,38686,42354,41407
"93700  Kurkijärvi - Oijusluoma (Kuusamo)",40083,42947,45032,45791,48720
"93800  Muojärvi (Kuusamo)",45011,46281,48326,50430,53924
"93830  Rukatunturi (Kuusamo)",45694,52125,50755,53864,56651
"93900  Oulangan kansallispuisto (Kuusamo)",37008,37588,39062,40138,40250
"93999  Lososaari (Kuusamo)",0,0,0,0,0
"94100  Kemi Keskus (Kemi)",28456,28946,30290,31513,32402
"94200  Torvinen - Vainio (Kemi)",35398,36896,38193,39519,40934
"94300  Pajusaari (Kemi)",42029,40487,42941,45016,46544
"94400  Keminmaa Keskus (Keminmaa)",37530,38504,39967,42269,43465
"94430  Kaakamo (Tornio)",46615,47387,49862,51766,52735
"94450  Lassila - Jokisuu (Keminmaa)",51080,52312,54408,57918,58827
"94460  Ruottala (Tornio)",39768,42702,45100,59456,49863
"94500  Lautiosaari (Keminmaa)",40698,42529,43774,45640,47455
"94600  Ristikangas - Kivikko (Kemi)",45081,46863,49144,51032,52384
"94700  Takajärvi - Haukkari (Kemi)",36902,38027,39162,40687,41779
"94720  Peurasaari (Kemi)",40554,40450,41044,42712,43370
"94800  Veitsiluoto (Kemi)",0,0,0,0,0
"94830  Pikku Berliini - Hepola (Kemi)",31390,31873,32899,33923,35102
"94900  Ajos (Kemi)",42168,42597,44079,45894,49001
"95100  Kuivaniemi Keskus (Ii)",33467,33334,35577,36079,37833
"95110  Kuivaniemi kk (Ii)",38426,39816,39768,41429,43755
"95130  Hyryoja (Ii)",41925,42620,40749,43412,50978
"95160  Oijärvi - Lamminperä (Ii)",28704,28952,30124,32972,33455
"95200  Simo Keskus (Simo)",38753,40510,41501,41371,41997
"95210  Filpus (Simo)",46345,44662,46366,48630,49107
"95220  Simoniemi (Simo)",43726,45408,48988,49831,51384
"95225  Viantie (Simo)",39632,40711,44741,45169,46063
"95230  Maksniemi (Simo)",46293,47915,49749,50380,52737
"95255  Alaniemi (Simo)",34753,36655,35805,36823,39409
"95260  Tainionjoki (Simo)",...,...,...,...,...
"95270  Yli-Kärppä - Tainionjoki (Simo)",37334,34424,33792,35756,37820
"95300  Tervola Keskus (Tervola)",37706,38521,41231,42955,44541
"95310  Liedakkala (Keminmaa)",50870,52200,56072,57077,59404
"95315  Törmä (Keminmaa)",44669,50774,44757,54516,50632
"95325  Paakkola (Tervola)",44077,47768,50137,50583,51038
"95330  Tervola (Tervola)",38875,40646,38787,39962,43251
"95340  Loue (Tervola)",38076,42054,41744,43508,46544
"95350  Peura (Tervola)",...,...,...,...,...
"95355  Koivu-Peura (Tervola)",36690,36493,36025,38148,39493
"95365  Maula (Keminmaa)",43979,47580,48152,51764,52658
"95370  Itäkoski (Keminmaa)",43661,44254,46389,49396,52964
"95375  Yli-Paakkola (Tervola)",44270,42194,47845,49937,49124
"95400  Tornio Keskus (Tornio)",29902,31262,31203,32748,33705
"95410  Kiviranta (Tornio)",42762,44276,46173,48092,50104
"95420  Miukki-Palosaari-Luotomäki (Tornio)",36019,36833,37866,39987,41621
"95430  Suensaari (Tornio)",31979,32248,33891,35975,36651
"95440  Kyläjoki (Tornio)",51424,54002,58547,58041,61455
"95450  Kirkonmäki (Tornio)",52207,53612,55394,58858,61255
"95460  Kantojärvi (Tornio)",55448,53148,59792,58079,59757
"95470  Pirkkiö - Röyttä (Tornio)",47457,50183,52398,52938,55232
"95490  Terästehtaanalue (Tornio)",0,0,0,0,0
"95500  Vojakkala - Yli-Liakka (Tornio)",50297,52202,53730,56016,58741
"95520  Kukkola (Tornio)",41373,43641,45066,46743,48652
"95530  Karunki (Tornio)",41814,43323,46756,47603,49951
"95540  Korpikylä (Tornio)",36917,41438,43859,46203,45393
"95560  Aapajoki (Tornio)",45270,44713,45512,46795,48935
"95590  Arpela (Tornio)",40781,43458,46192,45848,48608
"95600  Ylitornio Keskus (Ylitornio)",38907,41484,42155,43396,44338
"95610  Kainuunkylä (Ylitornio)",36320,36760,39665,44465,48335
"95615  Pekanpää (Ylitornio)",44060,46039,46057,48707,53025
"95620  Aavasaksa (Ylitornio)",37552,43681,41322,44337,44237
"95630  Kuivakangas (Ylitornio)",41888,41454,42677,44315,46242
"95635  Kaulinranta (Ylitornio)",41485,39478,41626,42318,44019
"95640  Juoksenki (Pello)",33623,37532,35809,39691,42797
"95645  Turtola (Pello)",36997,36917,39400,41853,43455
"95655  Etelä-Portimojärvi (Ylitornio)",36242,40219,39705,42932,45875
"95660  Kantomaanpää (Ylitornio)",36558,34757,36625,39147,44019
"95670  Pessalompolo (Ylitornio)",31943,33426,34855,41114,42284
"95675  Meltosjärvi (Ylitornio)",28245,30208,30278,31777,33323
"95680  Lohijärvi (Ylitornio)",...,34986,42672,39111,44122
"95690  Mellakoski (Ylitornio)",35394,38716,39517,42032,42608
"95700  Pello Keskus (Pello)",37896,39638,41066,41653,43050
"95710  Naamijoki (Pello)",...,...,...,...,...
"95720  Jarhoinen (Pello)",...,...,...,...,...
"95750  Orajärvi (Pello)",38355,39164,42408,41264,42947
"95760  Konttajärvi (Pello)",34937,35993,38279,37987,42134
"95770  Lankojärvi (Pello)",33307,34394,35232,38242,37628
"95780  Sirkkakoski (Pello)",39781,36248,52706,41123,40095
"95790  Lampsijärvi (Pello)",32638,32930,36739,36936,38940
"95800  Sieppijärvi - Taapajärvi (Kolari)",34779,35216,36252,37051,38242
"95830  Vaattojärvi (Kolari)",39761,38654,44227,43719,43914
"95840  Venejärvenkylä (Kolari)",...,...,...,...,...
"95850  Ruokojärvi (Kolari)",...,...,...,...,...
"95860  Pasmajärvi (Kolari)",...,...,...,...,...
"95900  Kolari Keskus (Kolari)",38067,38840,42840,42323,43753
"95920  Saaripudas (Kolari)",42113,43260,46301,47038,48127
"95930  Äkäsjoensuu (Kolari)",40740,42750,41462,44776,49163
"95940  Tapojärvi (Muonio)",...,...,...,...,...
"95950  Kihlanki - Tapojärvi (Muonio)",...,...,...,...,...
"95970  Äkäslompolo (Kolari)",47288,48760,49980,50438,55358
"95980  Ylläsjärvi (Kolari)",51277,51066,53525,53834,59231
"95990  Kurtakko (Kolari)",45525,43286,46859,48733,51979
"96100  Rovaniemi Keskus (Rovaniemi)",30097,31002,32157,33685,35619
"96190  Lapinrinne - Ahokangas (Rovaniemi)",45064,47655,48550,51814,55766
"96200  Sahanperä - Ratantaus (Rovaniemi)",32254,33077,34712,36888,38729
"96300  Niemelänkangas - Korvanniemi (Rovaniemi)",29744,30437,31569,33006,34440
"96320  Teollisuuskylä (Rovaniemi)",...,...,...,...,...
"96400  Pullinranta - Kiiruna (Rovaniemi)",43294,42586,44401,45973,47955
"96440  Ounasrinne (Rovaniemi)",33846,34903,36512,37987,39314
"96460  Pöykkölä (Rovaniemi)",50283,51314,53698,57025,59407
"96500  Korkalovaara (Rovaniemi)",34722,35875,37166,39002,40630
"96600  Koskenkylä (Rovaniemi)",55416,59957,60628,62494,67159
"96700  Niskanperä (Rovaniemi)",56142,62444,64049,62425,66216
"96800  Ylikylä - Patosaari (Rovaniemi)",50324,51857,54221,54657,57620
"96900  Saarenkylä (Rovaniemi)",50511,51701,54596,56848,61329
"96910  Syväsenvaara (Rovaniemi)",41124,42288,43295,46070,47880
"96930  Napapiiri Rovaniemi (Rovaniemi)",...,...,...,...,...
"96960  Someroharju (Rovaniemi)",33427,35758,31612,39375,42044
"97110  Rautionsaari (Rovaniemi)",54524,56017,58060,58900,65824
"97130  Hirvas (Rovaniemi)",46136,47664,50676,52262,54610
"97140  Muurola (Rovaniemi)",35283,36189,38348,39383,40728
"97145  Totonvaara (Rovaniemi)",0,0,0,0,0
"97160  Petäjäinen (Rovaniemi)",34386,35589,40129,39491,42281
"97170  Jaatila (Rovaniemi)",38029,38494,42587,44462,46207
"97220  Sinettä (Rovaniemi)",49362,50940,51868,55864,57239
"97240  Sonka (Rovaniemi)",39830,40044,41765,43694,44987
"97250  Raanujärvi (Ylitornio)",38699,40286,42896,44844,44421
"97280  Tapio (Rovaniemi)",40892,41817,43127,47599,49745
"97290  Marraskoski (Rovaniemi)",38399,38127,40761,40282,43316
"97310  Patokoski (Rovaniemi)",31192,32791,35147,38417,40138
"97320  Marrasjärvi (Rovaniemi)",33520,30925,32553,34875,37947
"97330  Rattosjärvi (Pello)",...,...,...,...,...
"97335  Ruuhivaara (Pello)",29806,32648,33066,35440,36204
"97340  Meltaus-Jääskö-Perttaus (Rovaniemi)",33990,35167,39212,40793,42352
"97370  Unarin-Luusua (Sodankylä)",...,...,...,...,...
"97380  Kukasranta (Sodankylä)",...,...,...,...,...
"97390  Kierinki (Sodankylä)",31400,33298,34457,35785,34582
"97420  Lohiniva (Kittilä)",35153,35616,36873,40173,42425
"97470  Alakylä - Sailehto (Kittilä)",38398,41666,41249,42892,47127
"97510  Vikajärvi (Rovaniemi)",37887,37120,38063,41160,42382
"97520  Nampa (Rovaniemi)",...,...,...,...,...
"97530  Nampa - Yli-Nampa (Rovaniemi)",35303,36084,37836,36477,43322
"97540  Tiainen (Rovaniemi)",29036,31789,35794,37520,36915
"97580  Misi (Rovaniemi)",29329,29771,34925,34703,37040
"97590  Raajärvi (Kemijärvi)",...,...,...,...,...
"97610  Oikarainen (Rovaniemi)",45646,46206,50660,51195,53980
"97615  Tennirova (Rovaniemi)",...,...,...,...,...
"97620  Viiri - Tennirova (Rovaniemi)",35077,36864,34822,40582,41651
"97625  Vanttauskoski (Rovaniemi)",33471,34764,36607,40247,41566
"97630  Pekkala (Rovaniemi)",30199,32078,32028,33488,35930
"97635  Juuniemi (Rovaniemi)",31615,31197,30802,31387,33462
"97645  Juujärvi (Kemijärvi)",28515,29145,30458,33269,36900
"97650  Juotas (Rovaniemi)",30774,31771,35712,33697,34743
"97655  Autti (Rovaniemi)",30698,31893,34123,34035,35765
"97665  Pohjasperä (Ranua)",33316,34035,35121,39534,42178
"97670  Kivitaipale (Rovaniemi)",41060,39502,41829,45564,48370
"97675  Narkaus - Kämät (Rovaniemi)",35385,36473,35495,39118,39657
"97680  Saari-Kämä (Rovaniemi)",...,...,...,...,48632
"97685  Siika-Kämä (Rovaniemi)",...,...,...,...,...
"97690  Sulaoja (Rovaniemi)",42578,43772,46062,48986,47688
"97700  Ranua Keskus (Ranua)",39446,40096,46787,42383,44102
"97715  Raiskio (Ranua)",32462,33019,33381,34613,36273
"97720  Yli-Simo - Raiskio (Ranua)",31385,28197,33018,34904,36085
"97760  Saariharju (Ranua)",33317,31935,32194,33076,35969
"97765  Kuha-Impiö-Itäranua (Ranua)",37206,39698,40272,45168,45506
"97780  Kuukasjärvi - Petäjäjärvi (Ranua)",45481,55733,52016,54184,58566
"97785  Kelankylä (Ranua)",41553,...,...,...,43301
"97810  Suorsa (Posio)",...,...,...,...,...
"97815  Pernu - Suorsa (Posio)",...,...,...,...,...
"97820  Perä-Posio (Posio)",34079,37859,40784,42606,39842
"97840  Lehtiniemi (Posio)",37253,34187,38849,42367,44361
"97850  Ristilä (Posio)",28119,30358,32678,34789,35224
"97870  Jumisko (Posio)",...,...,...,...,...
"97880  Nolimo - Jumisko (Posio)",...,...,...,...,...
"97890  Karjalaisenniemi (Posio)",39604,41333,45646,46864,47798
"97895  Mourujärvi (Posio)",39511,39553,38374,38931,42669
"97900  Posio Keskus (Posio)",34999,35020,35573,36675,38064
"97920  Suonnankylä (Posio)",36600,39088,41193,42477,40172
"97925  Tolva (Posio)",...,37536,36581,42749,...
"97940  Lohiranta (Posio)",37507,36972,38081,42500,46819
"97950  Säikkä (Posio)",...,...,...,...,...
"97960  Kuloharju - Säikkä (Posio)",32623,32113,32043,33230,34194
"97965  Kynsilä (Posio)",35244,35581,35548,39051,37972
"97970  Sirniö (Posio)",32656,39504,32817,37476,39559
"97980  Anetjärvi (Posio)",33348,36623,37582,39896,39964
"97999  Köngäs (Kittilä)",0,0,0,0,0
"98100  Kemijärvi Keskus (Kemijärvi)",32505,34035,34752,36032,37137
"98120  Särkikangas (Kemijärvi)",30851,31525,32739,33922,35472
"98230  Luusua - Karsimus (Kemijärvi)",31823,33760,34904,37576,38579
"98310  Karvakko (Kemijärvi)",41783,42967,44030,45837,47544
"98350  Tapionniemi (Kemijärvi)",36105,32970,35944,40829,40388
"98360  Vuostimo (Kemijärvi)",30046,33455,33276,33249,35495
"98400  Isokylä-Ryti-Lehtola (Kemijärvi)",45289,45692,47112,48947,51570
"98420  Ryti-Lehtola (Kemijärvi)",35104,35986,35971,38233,40569
"98440  Kallaanvaara (Kemijärvi)",39164,40334,41437,41750,44597
"98450  Kostamo (Kemijärvi)",35794,37057,38717,40230,41310
"98500  Pelkosenniemi Keskus (Pelkosenniemi)",33722,34515,36272,36874,40240
"98510  Saunavaara (Pelkosenniemi)",...,...,...,...,...
"98530  Pyhätunturi (Pelkosenniemi)",41872,42817,47233,46469,51248
"98550  Suvanto (Pelkosenniemi)",...,...,...,...,...
"98560  Kairala-Luiro (Pelkosenniemi)",34521,33789,35926,37368,41881
"98570  Aapajärvi (Pelkosenniemi)",...,...,...,...,...
"98580  Luiro (Pelkosenniemi)",...,...,...,...,...
"98600  Kursu (Salla)",35099,36781,34846,38287,39929
"98620  Pahkakumpu (Salla)",...,...,...,...,...
"98630  Ahvenselkä (Pelkosenniemi)",34922,38342,...,...,...
"98660  Salmivaara (Salla)",35005,37205,40190,40130,43796
"98710  Joutsijärvi (Kemijärvi)",34377,36940,37976,39480,38213
"98720  Suomutunturi (Kemijärvi)",29690,29997,31998,33522,33555
"98760  Hirvasvaara - Paloperä (Salla)",...,...,...,...,...
"98770  Aholanvaara (Salla)",...,...,...,...,...
"98780  Maaninkavaara (Posio)",37278,38391,40496,...,...
"98790  Paloperä (Salla)",...,...,...,...,...
"98800  Savukoski Keskus - Värriö (Savukoski)",37274,38011,37180,38573,40282
"98810  Lunkkaus (Savukoski)",...,...,...,...,...
"98820  Värriö (Savukoski)",...,...,...,...,...
"98830  Martti - Ruuvaoja (Savukoski)",37990,37094,38462,39377,41487
"98840  Ruuvaoja (Savukoski)",...,...,...,...,...
"98850  Kuosku (Savukoski)",39793,39323,40186,43076,46247
"98900  Salla Keskus (Salla)",34563,35440,36722,38464,39852
"98920  Kelloselkä (Salla)",37059,38020,40556,43738,48493
"98930  Kotalankylä (Salla)",34541,35457,37999,42516,49302
"98950  Saija (Salla)",35431,40124,37699,42517,46720
"98960  Naruska (Salla)",...,...,...,...,...
"98970  Onkamojärvi (Salla)",32809,36837,39057,37140,44945
"98980  Kallunki - Niemelä (Salla)",...,...,...,...,...
"98995  Hautajärvi (Salla)",34947,35740,37437,40868,42116
"99100  Kittilä Keskus (Kittilä)",41142,41342,44706,46255,48426
"99110  Kaukonen (Kittilä)",42468,44503,45627,48520,48913
"99120  Kallo (Kittilä)",37016,35745,37211,37243,40429
"99130  Sirkka - Rauhala (Kittilä)",42898,44328,48879,51288,54846
"99135  Rauhala (Kittilä)",...,...,...,...,...
"99140  Köngäs - Hanhivaara (Kittilä)",51229,53427,58110,59257,62510
"99150  Tepasto (Kittilä)",41089,40980,44662,43056,45745
"99160  Lompolo - Pulju (Kittilä)",...,...,...,...,...
"99170  Pulju (Kittilä)",...,...,...,...,...
"99180  Rautusjärvi (Kittilä)",...,...,...,...,...
"99190  Hanhimaa (Kittilä)",...,...,...,...,...
"99195  Pokka (Kittilä)",...,...,...,...,...
"99230  Jeesiöjärvi (Kittilä)",...,...,...,...,...
"99240  Kuivasalmi (Kittilä)",...,...,...,...,...
"99250  Kiistala - Jeesiöjärvi (Kittilä)",41276,41530,42323,47199,48050
"99270  Hormakumpu (Kittilä)",32811,35933,39619,45475,45361
"99280  Tepsa (Kittilä)",38103,40278,38650,45121,44140
"99290  Kelontekemä (Kittilä)",35680,38903,40541,45636,41432
"99300  Muonio Keskus (Muonio)",45413,44533,44038,48298,50889
"99310  Yli-Muonio (Muonio)",38055,36194,39594,40530,42787
"99320  Kätkäsuvanto (Muonio)",37514,39431,46658,48925,54650
"99330  Pallastunturi (Muonio)",0,...,...,...,...
"99340  Raattama - Pallastunturi (Kittilä)",33753,34279,32630,35426,39765
"99360  Kangosjärvi (Muonio)",44132,43796,45861,47514,50861
"99400  Enontekiö Keskus (Enontekiö)",37994,38388,39705,42402,45466
"99410  Vuontisjärvi (Enontekiö)",34485,36637,40110,39997,42209
"99420  Peltovuoma (Enontekiö)",39948,38949,42841,44474,47242
"99430  Nunnanen (Enontekiö)",30716,29710,29106,29524,31403
"99440  Leppäjärvi (Enontekiö)",33792,34367,35090,35570,39453
"99450  Palojoensuu - Kuttanen (Enontekiö)",37861,34414,35792,38496,40283
"99460  Kuttanen (Enontekiö)",...,...,...,...,...
"99470  Karesuvanto (Enontekiö)",38209,40142,40324,44344,45884
"99490  Kilpisjärvi (Enontekiö)",49970,53918,55960,60047,60273
"99510  Raudanjoki - Seipäjärvi (Sodankylä)",40065,46107,40652,44048,42601
"99520  Seipäjärvi (Sodankylä)",...,...,...,...,...
"99530  Vuojärvi (Sodankylä)",...,41383,45318,46924,45954
"99540  Torvinen (Sodankylä)",45672,47296,48814,54309,58393
"99550  Aska - Orakylä (Sodankylä)",39716,38345,41726,48797,52785
"99555  Luosto (Sodankylä)",36825,40624,40716,41057,44083
"99560  Orakylä (Sodankylä)",47376,47821,49860,50372,53584
"99600  Sodankylä Keskus (Sodankylä)",39301,39406,40827,42823,44867
"99610  Siurunmaa (Sodankylä)",...,...,...,...,...
"99620  Kelujärvi (Sodankylä)",41027,42265,43260,45914,45464
"99640  Tanhua (Savukoski)",31675,37614,43141,45779,46489
"99645  Lokka (Sodankylä)",29028,28375,30271,31364,32232
"99650  Sattanen (Sodankylä)",51573,51709,52287,57121,55418
"99655  Sattasvaara (Sodankylä)",34594,34998,36900,49664,44556
"99660  Kersilö (Sodankylä)",...,...,...,...,...
"99665  Moskuvaara (Sodankylä)",...,...,...,...,...
"99670  Petkula (Sodankylä)",...,...,...,...,...
"99690  Vuotso (Sodankylä)",41297,37948,41767,47249,52276
"99695  Tankavaara (Sodankylä)",...,...,...,...,...
"99710  Vaalajärvi (Sodankylä)",39755,40878,44698,45485,49370
"99720  Riipi (Sodankylä)",37559,39341,41161,44762,46799
"99740  Syväjärvi (Sodankylä)",35914,35364,36078,37050,43470
"99750  Sassali (Sodankylä)",...,...,...,...,...
"99760  Uimaniemi (Sodankylä)",...,...,...,...,...
"99770  Jeesiö (Sodankylä)",36717,36735,37978,39001,47026
"99800  Ivalo (Inari)",41370,42568,44477,46980,49132
"99830  Saariselkä (Inari)",49550,42629,45443,50179,59798
"99860  Nellim (Inari)",31467,34322,36349,40166,45340
"99870  Inari Keskus - Lemmenjoki (Inari)",39007,41825,44194,46105,48753
"99885  Lemmenjoki (Inari)",...,...,...,...,...
